year,towns_suburbs,value
2016,Crosshaven,-544
2016,Killorglin,1310
2016,Templemore,564
2016,Baltinglass,36
2016,Clifden,380
2016,Bunclody-Carrickduff,153
2016,Abbeyfeale,836
2016,Clogherhead,-518
2016,Castlerea,395
2016,An Daingean,651
2016,Castleconnell,-458
2016,Bearna,-368
2016,Balrothery,-569
2016,Abbeyleix,-1
2016,Ballaghaderreen,-313
2016,Enniskerry,-351
2016,Newport,-327
2016,Dunleer,211
2016,Newmarket-on-Fergus,-468
2016,Clones,-13
2016,Tubbercurry,67
2016,Edgeworthstown,23
2016,Ballivor,-350
2016,Castlebridge,-435
2016,Portlaw,-348
2016,Mountrath,-46
2016,Lifford,428
2016,Banagher,-13
2016,Kilmallock,304
2016,Strandhill,-390
2016,Rathdrum,21
2016,Dunmanway,280
2016,Millstreet,38
2016,Ballymahon,42
2016,Cloyne,-465
2016,Dunmore East,399
2016,Moycullen,-243
2016,Rosslare,-47
2016,Derrinturn,-291
2016,Fethard,50
2016,Ballymote,75
2016,Rathcormac,-539
2016,Collooney,125
2016,Castlemartyr,-236
2016,Tullyallen,-422
2016,Longwood,-441
2016,Termonfeckin,-314
2016,Convoy,-118
2016,Castlecomer-Donaguile,15
