year,sex,means_of_travel,towns_by_size,age_range,edu_status,value
2016,Male,walking,Killarney,13-18,at secondary school,76
2016,Male,walking,Killarney,19-66,at university,39
2016,Male,walking,Arklow,15-66,working,259
2016,Male,walking,Arklow,5-12,at primary school,285
2016,Male,walking,Arklow,13-18,at secondary school,203
2016,Male,walking,Arklow,19-66,at university,35
2016,Male,walking,Maynooth,15-66,working,247
2016,Male,walking,Maynooth,5-12,at primary school,284
2016,Male,walking,Maynooth,13-18,at secondary school,337
2016,Male,walking,Maynooth,19-66,at university,441
2016,Male,walking,Cobh,15-66,working,244
2016,Male,walking,Cobh,5-12,at primary school,363
2016,Male,walking,Cobh,13-18,at secondary school,244
2016,Male,walking,Cobh,19-66,at university,13
2016,Male,walking,Castlebar,15-66,working,337
2016,Male,walking,Castlebar,5-12,at primary school,120
2016,Male,walking,Castlebar,13-18,at secondary school,140
2016,Male,walking,Castlebar,19-66,at university,122
2016,Male,walking,Midleton,15-66,working,160
2016,Male,walking,Midleton,5-12,at primary school,115
2016,Male,walking,Midleton,13-18,at secondary school,155
2016,Male,walking,Midleton,19-66,at university,19
2016,Male,walking,Mallow,15-66,working,187
2016,Male,walking,Mallow,5-12,at primary school,158
2016,Male,walking,Mallow,13-18,at secondary school,176
2016,Male,walking,Mallow,19-66,at university,47
2016,Male,walking,Ashbourne,15-66,working,190
2016,Male,walking,Ashbourne,5-12,at primary school,359
2016,Male,walking,Ashbourne,13-18,at secondary school,234
2016,Male,walking,Ashbourne,19-66,at university,7
2016,Male,walking,Ballina,15-66,working,254
2016,Male,walking,Ballina,5-12,at primary school,56
2016,Male,walking,Ballina,13-18,at secondary school,123
2016,Male,walking,Ballina,19-66,at university,44
2016,Male,walking,Laytown-Bettystown-Mornington,15-66,working,33
2016,Male,walking,Laytown-Bettystown-Mornington,5-12,at primary school,185
2016,Male,walking,Laytown-Bettystown-Mornington,13-18,at secondary school,116
2016,Male,walking,Laytown-Bettystown-Mornington,19-66,at university,9
2016,Male,walking,Enniscorthy,15-66,working,228
2016,Male,walking,Enniscorthy,5-12,at primary school,197
2016,Male,walking,Enniscorthy,13-18,at secondary school,173
2016,Male,walking,Enniscorthy,19-66,at university,31
2016,Male,walking,Wicklow,15-66,working,163
2016,Male,walking,Wicklow,5-12,at primary school,177
2016,Male,walking,Wicklow,13-18,at secondary school,118
2016,Male,walking,Wicklow,19-66,at university,27
2016,Male,walking,Tramore,15-66,working,109
2016,Male,walking,Tramore,5-12,at primary school,191
2016,Male,walking,Tramore,13-18,at secondary school,189
2016,Male,walking,Tramore,19-66,at university,36
2016,Male,walking,Cavan,15-66,working,223
2016,Male,walking,Cavan,5-12,at primary school,110
2016,Male,walking,Cavan,13-18,at secondary school,63
2016,Male,walking,Cavan,19-66,at university,63
2016,Male,walking,Athy,15-66,working,122
2016,Male,walking,Athy,5-12,at primary school,161
2016,Male,walking,Athy,13-18,at secondary school,168
2016,Male,walking,Athy,19-66,at university,18
2016,Male,walking,Shannon,15-66,working,288
2016,Male,walking,Shannon,5-12,at primary school,304
2016,Male,walking,Shannon,13-18,at secondary school,254
2016,Male,walking,Shannon,19-66,at university,27
2016,Male,walking,Skerries,15-66,working,87
2016,Male,walking,Skerries,5-12,at primary school,369
2016,Male,walking,Skerries,13-18,at secondary school,254
2016,Male,walking,Skerries,19-66,at university,10
2016,Male,walking,Longford,15-66,working,237
2016,Male,walking,Longford,5-12,at primary school,152
2016,Male,walking,Longford,13-18,at secondary school,160
2016,Male,walking,Longford,19-66,at university,43
2016,Male,walking,Dungarvan,15-66,working,200
2016,Male,walking,Dungarvan,5-12,at primary school,145
2016,Male,walking,Dungarvan,13-18,at secondary school,109
2016,Male,walking,Dungarvan,19-66,at university,36
2016,Male,walking,Portmarnock,15-66,working,34
2016,Male,walking,Portmarnock,5-12,at primary school,227
2016,Male,walking,Portmarnock,13-18,at secondary school,147
2016,Male,walking,Portmarnock,19-66,at university,5
2016,Male,walking,Rush,15-66,working,94
2016,Male,walking,Rush,5-12,at primary school,236
2016,Male,walking,Rush,13-18,at secondary school,155
2016,Male,walking,Rush,19-66,at university,3
2016,Male,walking,Gorey,15-66,working,217
2016,Male,walking,Gorey,5-12,at primary school,165
2016,Male,walking,Gorey,13-18,at secondary school,200
2016,Male,walking,Gorey,19-66,at university,22
2016,Male,walking,Ratoath,15-66,working,35
2016,Male,walking,Ratoath,5-12,at primary school,440
2016,Male,walking,Ratoath,13-18,at secondary school,355
2016,Male,walking,Ratoath,19-66,at university,2
2016,Male,walking,Nenagh,15-66,working,220
2016,Male,walking,Nenagh,5-12,at primary school,119
2016,Male,walking,Nenagh,13-18,at secondary school,144
2016,Male,walking,Nenagh,19-66,at university,31
2016,Male,walking,Trim,15-66,working,143
