year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,walking,Aggregate Rural Area,After 09:30,>=19,university,1252
2011,Male,walking,Aggregate Rural Area,na,>=15,junior-cert,448
2011,Male,walking,Aggregate Rural Area,na,5 to 12,primary-school,86
2011,Male,walking,Aggregate Rural Area,na,13 to 18,leaving-cert,45
2011,Male,walking,Aggregate Rural Area,na,>=19,university,66
2011,Male,bike,Aggregate Town Area,Before 06:30,>=15,junior-cert,2297
2011,Male,bike,Aggregate Town Area,Before 06:30,5 to 12,primary-school,5
2011,Male,bike,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,4
2011,Male,bike,Aggregate Town Area,Before 06:30,>=19,university,41
2011,Male,bike,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,2195
2011,Male,bike,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,5
2011,Male,bike,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,7
2011,Male,bike,Aggregate Town Area,06:30 - 07:00,>=19,university,70
2011,Male,bike,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,2753
2011,Male,bike,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,19
2011,Male,bike,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,91
2011,Male,bike,Aggregate Town Area,07:01 - 07:30,>=19,university,124
2011,Male,bike,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,4556
2011,Male,bike,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,126
2011,Male,bike,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,624
2011,Male,bike,Aggregate Town Area,07:31 - 08:00,>=19,university,318
2011,Male,bike,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,5122
2011,Male,bike,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,1231
2011,Male,bike,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,2886
2011,Male,bike,Aggregate Town Area,08:01 - 08:30,>=19,university,918
2011,Male,bike,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,4581
2011,Male,bike,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,1931
2011,Male,bike,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,1947
2011,Male,bike,Aggregate Town Area,08:31 - 09:00,>=19,university,1713
2011,Male,bike,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,1779
2011,Male,bike,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,250
2011,Male,bike,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,69
2011,Male,bike,Aggregate Town Area,09:01 - 09:30,>=19,university,819
2011,Male,bike,Aggregate Town Area,After 09:30,>=15,junior-cert,3327
2011,Male,bike,Aggregate Town Area,After 09:30,5 to 12,primary-school,2
2011,Male,bike,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,57
2011,Male,bike,Aggregate Town Area,After 09:30,>=19,university,1331
2011,Male,bike,Aggregate Town Area,na,>=15,junior-cert,293
2011,Male,bike,Aggregate Town Area,na,5 to 12,primary-school,16
2011,Male,bike,Aggregate Town Area,na,13 to 18,leaving-cert,26
2011,Male,bike,Aggregate Town Area,na,>=19,university,44
2011,Male,bike,Aggregate Rural Area,Before 06:30,>=15,junior-cert,198
2011,Male,bike,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,0
2011,Male,bike,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,0
2011,Male,bike,Aggregate Rural Area,Before 06:30,>=19,university,4
2011,Male,bike,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,256
2011,Male,bike,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,0
2011,Male,bike,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,1
2011,Male,bike,Aggregate Rural Area,06:30 - 07:00,>=19,university,3
2011,Male,bike,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,300
2011,Male,bike,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,4
2011,Male,bike,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,6
2011,Male,bike,Aggregate Rural Area,07:01 - 07:30,>=19,university,14
2011,Male,bike,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,416
2011,Male,bike,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,3
2011,Male,bike,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,36
2011,Male,bike,Aggregate Rural Area,07:31 - 08:00,>=19,university,35
2011,Male,bike,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,330
2011,Male,bike,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,58
2011,Male,bike,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,87
2011,Male,bike,Aggregate Rural Area,08:01 - 08:30,>=19,university,137
2011,Male,bike,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,297
2011,Male,bike,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,396
2011,Male,bike,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,161
2011,Male,bike,Aggregate Rural Area,08:31 - 09:00,>=19,university,387
2011,Male,bike,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,121
2011,Male,bike,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,404
2011,Male,bike,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,37
2011,Male,bike,Aggregate Rural Area,09:01 - 09:30,>=19,university,102
