year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,na,Aggregate Rural Area,07:01 - 07:30,>=19,university,4
2011,Male,na,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,171
2011,Male,na,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,14
2011,Male,na,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,39
2011,Male,na,Aggregate Rural Area,07:31 - 08:00,>=19,university,15
2011,Male,na,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,126
2011,Male,na,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,69
2011,Male,na,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,85
2011,Male,na,Aggregate Rural Area,08:01 - 08:30,>=19,university,13
2011,Male,na,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,92
2011,Male,na,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,248
2011,Male,na,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,87
2011,Male,na,Aggregate Rural Area,08:31 - 09:00,>=19,university,23
2011,Male,na,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,48
2011,Male,na,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,299
2011,Male,na,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,24
2011,Male,na,Aggregate Rural Area,09:01 - 09:30,>=19,university,12
2011,Male,na,Aggregate Rural Area,After 09:30,>=15,junior-cert,80
2011,Male,na,Aggregate Rural Area,After 09:30,5 to 12,primary-school,7
2011,Male,na,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,4
2011,Male,na,Aggregate Rural Area,After 09:30,>=19,university,11
2011,Male,na,Aggregate Rural Area,na,>=15,junior-cert,16663
2011,Male,na,Aggregate Rural Area,na,5 to 12,primary-school,2172
2011,Male,na,Aggregate Rural Area,na,13 to 18,leaving-cert,1007
2011,Male,na,Aggregate Rural Area,na,>=19,university,805
2011,Male,all,Aggregate Town Area,Before 06:30,>=15,junior-cert,56521
2011,Male,all,Aggregate Town Area,Before 06:30,5 to 12,primary-school,91
2011,Male,all,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,124
2011,Male,all,Aggregate Town Area,Before 06:30,>=19,university,601
2011,Male,all,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,61513
2011,Male,all,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,271
2011,Male,all,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,585
2011,Male,all,Aggregate Town Area,06:30 - 07:00,>=19,university,1654
2011,Male,all,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,72135
2011,Male,all,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,1368
2011,Male,all,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,3482
2011,Male,all,Aggregate Town Area,07:01 - 07:30,>=19,university,3640
2011,Male,all,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,97393
2011,Male,all,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,6499
2011,Male,all,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,14294
2011,Male,all,Aggregate Town Area,07:31 - 08:00,>=19,university,7521
2011,Male,all,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,86904
2011,Male,all,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,37811
2011,Male,all,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,36458
2011,Male,all,Aggregate Town Area,08:01 - 08:30,>=19,university,12786
2011,Male,all,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,66025
2011,Male,all,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,80737
2011,Male,all,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,32455
2011,Male,all,Aggregate Town Area,08:31 - 09:00,>=19,university,16670
2011,Male,all,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,27355
2011,Male,all,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,16531
2011,Male,all,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,2044
2011,Male,all,Aggregate Town Area,09:01 - 09:30,>=19,university,7709
2011,Male,all,Aggregate Town Area,After 09:30,>=15,junior-cert,66667
2011,Male,all,Aggregate Town Area,After 09:30,5 to 12,primary-school,265
2011,Male,all,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,829
2011,Male,all,Aggregate Town Area,After 09:30,>=19,university,11783
2011,Male,all,Aggregate Town Area,na,>=15,junior-cert,24443
2011,Male,all,Aggregate Town Area,na,5 to 12,primary-school,5875
2011,Male,all,Aggregate Town Area,na,13 to 18,leaving-cert,2392
2011,Male,all,Aggregate Town Area,na,>=19,university,3001
2011,Male,all,Aggregate Rural Area,Before 06:30,>=15,junior-cert,30708
2011,Male,all,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,29
2011,Male,all,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,83
2011,Male,all,Aggregate Rural Area,Before 06:30,>=19,university,269
2011,Male,all,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,36294
2011,Male,all,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,119
2011,Male,all,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,370
2011,Male,all,Aggregate Rural Area,06:30 - 07:00,>=19,university,885
2011,Male,all,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,45468
2011,Male,all,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,528
2011,Male,all,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,2800
2011,Male,all,Aggregate Rural Area,07:01 - 07:30,>=19,university,1975
2011,Male,all,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,63040
2011,Male,all,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,2441
2011,Male,all,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,16376
2011,Male,all,Aggregate Rural Area,07:31 - 08:00,>=19,university,4021
2011,Male,all,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,50104
2011,Male,all,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,10483
2011,Male,all,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,26996
2011,Male,all,Aggregate Rural Area,08:01 - 08:30,>=19,university,5850
2011,Male,all,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,38127
2011,Male,all,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,44163
2011,Male,all,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,20646
2011,Male,all,Aggregate Rural Area,08:31 - 09:00,>=19,university,7767
2011,Male,all,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,14676
2011,Male,all,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,46573
2011,Male,all,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,2185
2011,Male,all,Aggregate Rural Area,09:01 - 09:30,>=19,university,2573
2011,Male,all,Aggregate Rural Area,After 09:30,>=15,junior-cert,21586
2011,Male,all,Aggregate Rural Area,After 09:30,5 to 12,primary-school,193
2011,Male,all,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,474
2011,Male,all,Aggregate Rural Area,After 09:30,>=19,university,2749
2011,Male,all,Aggregate Rural Area,na,>=15,junior-cert,20938
2011,Male,all,Aggregate Rural Area,na,5 to 12,primary-school,2600
2011,Male,all,Aggregate Rural Area,na,13 to 18,leaving-cert,1314
2011,Male,all,Aggregate Rural Area,na,>=19,university,1120
2011,Female,walking,Aggregate Town Area,Before 06:30,>=15,junior-cert,2933
2011,Female,walking,Aggregate Town Area,Before 06:30,5 to 12,primary-school,26
2011,Female,walking,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,24
2011,Female,walking,Aggregate Town Area,Before 06:30,>=19,university,91
2011,Female,walking,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,4922
2011,Female,walking,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,44
2011,Female,walking,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,34
2011,Female,walking,Aggregate Town Area,06:30 - 07:00,>=19,university,166
2011,Female,walking,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,6307
2011,Female,walking,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,159
2011,Female,walking,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,241
2011,Female,walking,Aggregate Town Area,07:01 - 07:30,>=19,university,266
2011,Female,walking,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,10013
2011,Female,walking,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,889
2011,Female,walking,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,2344
2011,Female,walking,Aggregate Town Area,07:31 - 08:00,>=19,university,699
2011,Female,walking,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,13828
2011,Female,walking,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,10205
2011,Female,walking,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,14239
2011,Female,walking,Aggregate Town Area,08:01 - 08:30,>=19,university,2578
2011,Female,walking,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,20121
2011,Female,walking,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,32186
2011,Female,walking,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,14345
2011,Female,walking,Aggregate Town Area,08:31 - 09:00,>=19,university,7696
2011,Female,walking,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,9011
2011,Female,walking,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,5125
2011,Female,walking,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,781
2011,Female,walking,Aggregate Town Area,09:01 - 09:30,>=19,university,3328
2011,Female,walking,Aggregate Town Area,After 09:30,>=15,junior-cert,18535
2011,Female,walking,Aggregate Town Area,After 09:30,5 to 12,primary-school,81
2011,Female,walking,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,365
2011,Female,walking,Aggregate Town Area,After 09:30,>=19,university,4038
2011,Female,walking,Aggregate Town Area,na,>=15,junior-cert,1129
2011,Female,walking,Aggregate Town Area,na,5 to 12,primary-school,390
2011,Female,walking,Aggregate Town Area,na,13 to 18,leaving-cert,178
2011,Female,walking,Aggregate Town Area,na,>=19,university,149
2011,Female,walking,Aggregate Rural Area,Before 06:30,>=15,junior-cert,348
2011,Female,walking,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,1
2011,Female,walking,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,5
2011,Female,walking,Aggregate Rural Area,Before 06:30,>=19,university,12
2011,Female,walking,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,557
2011,Female,walking,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,3
2011,Female,walking,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,11
2011,Female,walking,Aggregate Rural Area,06:30 - 07:00,>=19,university,49
2011,Female,walking,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,639
2011,Female,walking,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,13
2011,Female,walking,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,19
2011,Female,walking,Aggregate Rural Area,07:01 - 07:30,>=19,university,90
2011,Female,walking,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,1157
2011,Female,walking,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,69
2011,Female,walking,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,151
2011,Female,walking,Aggregate Rural Area,07:31 - 08:00,>=19,university,170
2011,Female,walking,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,1017
2011,Female,walking,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,252
2011,Female,walking,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,537
2011,Female,walking,Aggregate Rural Area,08:01 - 08:30,>=19,university,833
2011,Female,walking,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,2029
2011,Female,walking,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,3208
2011,Female,walking,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,2422
2011,Female,walking,Aggregate Rural Area,08:31 - 09:00,>=19,university,4355
2011,Female,walking,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,1567
2011,Female,walking,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,5799
2011,Female,walking,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,511
2011,Female,walking,Aggregate Rural Area,09:01 - 09:30,>=19,university,1433
2011,Female,walking,Aggregate Rural Area,After 09:30,>=15,junior-cert,2477
2011,Female,walking,Aggregate Rural Area,After 09:30,5 to 12,primary-school,28
2011,Female,walking,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,271
2011,Female,walking,Aggregate Rural Area,After 09:30,>=19,university,1552
2011,Female,walking,Aggregate Rural Area,na,>=15,junior-cert,206
2011,Female,walking,Aggregate Rural Area,na,5 to 12,primary-school,59
2011,Female,walking,Aggregate Rural Area,na,13 to 18,leaving-cert,25
2011,Female,walking,Aggregate Rural Area,na,>=19,university,61
2011,Female,bike,Aggregate Town Area,Before 06:30,>=15,junior-cert,350
2011,Female,bike,Aggregate Town Area,Before 06:30,5 to 12,primary-school,3
2011,Female,bike,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,1
2011,Female,bike,Aggregate Town Area,Before 06:30,>=19,university,17
2011,Female,bike,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,633
2011,Female,bike,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,2
2011,Female,bike,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,3
2011,Female,bike,Aggregate Town Area,06:30 - 07:00,>=19,university,53
2011,Female,bike,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,859
2011,Female,bike,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,6
2011,Female,bike,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,11
2011,Female,bike,Aggregate Town Area,07:01 - 07:30,>=19,university,57
2011,Female,bike,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,1484
2011,Female,bike,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,53
2011,Female,bike,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,69
2011,Female,bike,Aggregate Town Area,07:31 - 08:00,>=19,university,159
2011,Female,bike,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,2267
2011,Female,bike,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,451
2011,Female,bike,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,230
2011,Female,bike,Aggregate Town Area,08:01 - 08:30,>=19,university,371
2011,Female,bike,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,2112
2011,Female,bike,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,745
2011,Female,bike,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,107
2011,Female,bike,Aggregate Town Area,08:31 - 09:00,>=19,university,616
2011,Female,bike,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,951
2011,Female,bike,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,83
2011,Female,bike,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,14
2011,Female,bike,Aggregate Town Area,09:01 - 09:30,>=19,university,307
2011,Female,bike,Aggregate Town Area,After 09:30,>=15,junior-cert,1242
2011,Female,bike,Aggregate Town Area,After 09:30,5 to 12,primary-school,2
2011,Female,bike,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,15
2011,Female,bike,Aggregate Town Area,After 09:30,>=19,university,413
2011,Female,bike,Aggregate Town Area,na,>=15,junior-cert,80
2011,Female,bike,Aggregate Town Area,na,5 to 12,primary-school,6
2011,Female,bike,Aggregate Town Area,na,13 to 18,leaving-cert,1
2011,Female,bike,Aggregate Town Area,na,>=19,university,13
2011,Female,bike,Aggregate Rural Area,Before 06:30,>=15,junior-cert,16
2011,Female,bike,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,0
2011,Female,bike,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,0
2011,Female,bike,Aggregate Rural Area,Before 06:30,>=19,university,2
2011,Female,bike,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,41
2011,Female,bike,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,0
2011,Female,bike,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,0
2011,Female,bike,Aggregate Rural Area,06:30 - 07:00,>=19,university,4
2011,Female,bike,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,54
2011,Female,bike,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,3
2011,Female,bike,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,6
2011,Female,bike,Aggregate Rural Area,07:01 - 07:30,>=19,university,5
2011,Female,bike,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,102
2011,Female,bike,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,1
2011,Female,bike,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,6
2011,Female,bike,Aggregate Rural Area,07:31 - 08:00,>=19,university,21
2011,Female,bike,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,115
2011,Female,bike,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,24
2011,Female,bike,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,18
2011,Female,bike,Aggregate Rural Area,08:01 - 08:30,>=19,university,60
2011,Female,bike,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,161
2011,Female,bike,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,187
2011,Female,bike,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,35
2011,Female,bike,Aggregate Rural Area,08:31 - 09:00,>=19,university,136
2011,Female,bike,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,99
2011,Female,bike,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,223
2011,Female,bike,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,10
2011,Female,bike,Aggregate Rural Area,09:01 - 09:30,>=19,university,37
2011,Female,bike,Aggregate Rural Area,After 09:30,>=15,junior-cert,148
2011,Female,bike,Aggregate Rural Area,After 09:30,5 to 12,primary-school,0
2011,Female,bike,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,2
2011,Female,bike,Aggregate Rural Area,After 09:30,>=19,university,40
2011,Female,bike,Aggregate Rural Area,na,>=15,junior-cert,14
2011,Female,bike,Aggregate Rural Area,na,5 to 12,primary-school,6
2011,Female,bike,Aggregate Rural Area,na,13 to 18,leaving-cert,1
2011,Female,bike,Aggregate Rural Area,na,>=19,university,4
2011,Female,bus,Aggregate Town Area,Before 06:30,>=15,junior-cert,3131
2011,Female,bus,Aggregate Town Area,Before 06:30,5 to 12,primary-school,7
2011,Female,bus,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,41
2011,Female,bus,Aggregate Town Area,Before 06:30,>=19,university,245
2011,Female,bus,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,5626
2011,Female,bus,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,49
2011,Female,bus,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,325
2011,Female,bus,Aggregate Town Area,06:30 - 07:00,>=19,university,852
2011,Female,bus,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,8096
2011,Female,bus,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,316
2011,Female,bus,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,2113
2011,Female,bus,Aggregate Town Area,07:01 - 07:30,>=19,university,1832
2011,Female,bus,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,10482
2011,Female,bus,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,1377
2011,Female,bus,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,6941
2011,Female,bus,Aggregate Town Area,07:31 - 08:00,>=19,university,3358
2011,Female,bus,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,8612
2011,Female,bus,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,3808
2011,Female,bus,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,6223
2011,Female,bus,Aggregate Town Area,08:01 - 08:30,>=19,university,3897
2011,Female,bus,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,4672
2011,Female,bus,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,3050
2011,Female,bus,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,1179
2011,Female,bus,Aggregate Town Area,08:31 - 09:00,>=19,university,2548
2011,Female,bus,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,2622
2011,Female,bus,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,660
2011,Female,bus,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,297
2011,Female,bus,Aggregate Town Area,09:01 - 09:30,>=19,university,1621
2011,Female,bus,Aggregate Town Area,After 09:30,>=15,junior-cert,5891
2011,Female,bus,Aggregate Town Area,After 09:30,5 to 12,primary-school,9
2011,Female,bus,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,232
2011,Female,bus,Aggregate Town Area,After 09:30,>=19,university,2348
2011,Female,bus,Aggregate Town Area,na,>=15,junior-cert,490
2011,Female,bus,Aggregate Town Area,na,5 to 12,primary-school,88
2011,Female,bus,Aggregate Town Area,na,13 to 18,leaving-cert,88
2011,Female,bus,Aggregate Town Area,na,>=19,university,150
2011,Female,bus,Aggregate Rural Area,Before 06:30,>=15,junior-cert,316
2011,Female,bus,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,4
2011,Female,bus,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,30
2011,Female,bus,Aggregate Rural Area,Before 06:30,>=19,university,76
2011,Female,bus,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,534
2011,Female,bus,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,26
2011,Female,bus,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,222
2011,Female,bus,Aggregate Rural Area,06:30 - 07:00,>=19,university,327
2011,Female,bus,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,624
2011,Female,bus,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,156
2011,Female,bus,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,1866
2011,Female,bus,Aggregate Rural Area,07:01 - 07:30,>=19,university,615
2011,Female,bus,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,698
2011,Female,bus,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,849
2011,Female,bus,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,12975
2011,Female,bus,Aggregate Rural Area,07:31 - 08:00,>=19,university,996
2011,Female,bus,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,545
2011,Female,bus,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,2908
2011,Female,bus,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,13053
2011,Female,bus,Aggregate Rural Area,08:01 - 08:30,>=19,university,1012
2011,Female,bus,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,275
2011,Female,bus,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,10439
2011,Female,bus,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,2000
2011,Female,bus,Aggregate Rural Area,08:31 - 09:00,>=19,university,698
2011,Female,bus,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,149
2011,Female,bus,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,5182
2011,Female,bus,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,250
2011,Female,bus,Aggregate Rural Area,09:01 - 09:30,>=19,university,245
2011,Female,bus,Aggregate Rural Area,After 09:30,>=15,junior-cert,282
2011,Female,bus,Aggregate Rural Area,After 09:30,5 to 12,primary-school,27
2011,Female,bus,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,92
2011,Female,bus,Aggregate Rural Area,After 09:30,>=19,university,298
2011,Female,bus,Aggregate Rural Area,na,>=15,junior-cert,36
2011,Female,bus,Aggregate Rural Area,na,5 to 12,primary-school,91
2011,Female,bus,Aggregate Rural Area,na,13 to 18,leaving-cert,83
2011,Female,bus,Aggregate Rural Area,na,>=19,university,47
2011,Female,train,Aggregate Town Area,Before 06:30,>=15,junior-cert,1313
2011,Female,train,Aggregate Town Area,Before 06:30,5 to 12,primary-school,1
2011,Female,train,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,12
2011,Female,train,Aggregate Town Area,Before 06:30,>=19,university,92
2011,Female,train,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,2757
2011,Female,train,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,5
2011,Female,train,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,72
2011,Female,train,Aggregate Town Area,06:30 - 07:00,>=19,university,256
2011,Female,train,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,4635
2011,Female,train,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,29
2011,Female,train,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,286
2011,Female,train,Aggregate Town Area,07:01 - 07:30,>=19,university,533
2011,Female,train,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,6508
2011,Female,train,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,94
2011,Female,train,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,929
2011,Female,train,Aggregate Town Area,07:31 - 08:00,>=19,university,992
2011,Female,train,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,5716
2011,Female,train,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,99
2011,Female,train,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,755
2011,Female,train,Aggregate Town Area,08:01 - 08:30,>=19,university,1213
2011,Female,train,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,2296
2011,Female,train,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,54
2011,Female,train,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,164
2011,Female,train,Aggregate Town Area,08:31 - 09:00,>=19,university,666
2011,Female,train,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,875
2011,Female,train,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,9
2011,Female,train,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,43
2011,Female,train,Aggregate Town Area,09:01 - 09:30,>=19,university,476
2011,Female,train,Aggregate Town Area,After 09:30,>=15,junior-cert,1281
2011,Female,train,Aggregate Town Area,After 09:30,5 to 12,primary-school,0
2011,Female,train,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,60
2011,Female,train,Aggregate Town Area,After 09:30,>=19,university,670
2011,Female,train,Aggregate Town Area,na,>=15,junior-cert,130
2011,Female,train,Aggregate Town Area,na,5 to 12,primary-school,2
2011,Female,train,Aggregate Town Area,na,13 to 18,leaving-cert,8
2011,Female,train,Aggregate Town Area,na,>=19,university,28
2011,Female,train,Aggregate Rural Area,Before 06:30,>=15,junior-cert,321
