year,sex,travelling_time,time_leaving_home,age,edu_level,value
2011,Male,½ hour - < ¾ hour,07:01 - 07:30,>=15,junior-cert,34242
2011,Male,½ hour - < ¾ hour,07:01 - 07:30,5 to 12,primary-school,468
2011,Male,½ hour - < ¾ hour,07:01 - 07:30,13 to 18,leaving-cert,2083
2011,Male,½ hour - < ¾ hour,07:01 - 07:30,>=19,university,1086
2011,Male,½ hour - < ¾ hour,07:31 - 08:00,>=15,junior-cert,36404
2011,Male,½ hour - < ¾ hour,07:31 - 08:00,5 to 12,primary-school,2197
2011,Male,½ hour - < ¾ hour,07:31 - 08:00,13 to 18,leaving-cert,10689
2011,Male,½ hour - < ¾ hour,07:31 - 08:00,>=19,university,3281
2011,Male,½ hour - < ¾ hour,08:01 - 08:30,>=15,junior-cert,35936
2011,Male,½ hour - < ¾ hour,08:01 - 08:30,5 to 12,primary-school,5528
2011,Male,½ hour - < ¾ hour,08:01 - 08:30,13 to 18,leaving-cert,9380
2011,Male,½ hour - < ¾ hour,08:01 - 08:30,>=19,university,6038
2011,Male,½ hour - < ¾ hour,08:31 - 09:00,>=15,junior-cert,16779
2011,Male,½ hour - < ¾ hour,08:31 - 09:00,5 to 12,primary-school,3314
2011,Male,½ hour - < ¾ hour,08:31 - 09:00,13 to 18,leaving-cert,1556
2011,Male,½ hour - < ¾ hour,08:31 - 09:00,>=19,university,3386
2011,Male,½ hour - < ¾ hour,09:01 - 09:30,>=15,junior-cert,7447
2011,Male,½ hour - < ¾ hour,09:01 - 09:30,5 to 12,primary-school,359
2011,Male,½ hour - < ¾ hour,09:01 - 09:30,13 to 18,leaving-cert,204
2011,Male,½ hour - < ¾ hour,09:01 - 09:30,>=19,university,1821
2011,Male,½ hour - < ¾ hour,After 09:30,>=15,junior-cert,15429
2011,Male,½ hour - < ¾ hour,After 09:30,5 to 12,primary-school,18
2011,Male,½ hour - < ¾ hour,After 09:30,13 to 18,leaving-cert,185
2011,Male,½ hour - < ¾ hour,After 09:30,>=19,university,2823
2011,Male,¾ hour - < 1 hour,Before 06:30,>=15,junior-cert,7050
2011,Male,¾ hour - < 1 hour,Before 06:30,5 to 12,primary-school,7
2011,Male,¾ hour - < 1 hour,Before 06:30,13 to 18,leaving-cert,14
2011,Male,¾ hour - < 1 hour,Before 06:30,>=19,university,48
2011,Male,¾ hour - < 1 hour,06:30 - 07:00,>=15,junior-cert,10208
2011,Male,¾ hour - < 1 hour,06:30 - 07:00,5 to 12,primary-school,27
2011,Male,¾ hour - < 1 hour,06:30 - 07:00,13 to 18,leaving-cert,136
2011,Male,¾ hour - < 1 hour,06:30 - 07:00,>=19,university,242
2011,Male,¾ hour - < 1 hour,07:01 - 07:30,>=15,junior-cert,12430
2011,Male,¾ hour - < 1 hour,07:01 - 07:30,5 to 12,primary-school,168
2011,Male,¾ hour - < 1 hour,07:01 - 07:30,13 to 18,leaving-cert,995
2011,Male,¾ hour - < 1 hour,07:01 - 07:30,>=19,university,837
2011,Male,¾ hour - < 1 hour,07:31 - 08:00,>=15,junior-cert,13659
2011,Male,¾ hour - < 1 hour,07:31 - 08:00,5 to 12,primary-school,605
2011,Male,¾ hour - < 1 hour,07:31 - 08:00,13 to 18,leaving-cert,2544
2011,Male,¾ hour - < 1 hour,07:31 - 08:00,>=19,university,2229
2011,Male,¾ hour - < 1 hour,08:01 - 08:30,>=15,junior-cert,10425
2011,Male,¾ hour - < 1 hour,08:01 - 08:30,5 to 12,primary-school,728
2011,Male,¾ hour - < 1 hour,08:01 - 08:30,13 to 18,leaving-cert,1166
2011,Male,¾ hour - < 1 hour,08:01 - 08:30,>=19,university,2087
2011,Male,¾ hour - < 1 hour,08:31 - 09:00,>=15,junior-cert,3823
