year,age_group,sex,travelling_time,value
2011,70 years and over,Male,0.275,1382
2011,70 years and over,Male,0.375,796
2011,70 years and over,Male,0.525,207
2011,70 years and over,Male,1.25,193
2011,70 years and over,Male,1.3,79
2011,70 years and over,Female,0.125,872
2011,70 years and over,Female,0.275,707
2011,70 years and over,Female,0.375,328
2011,70 years and over,Female,0.525,82
2011,70 years and over,Female,1.25,84
2011,70 years and over,Female,1.3,18
2016,15 - 19 years,Male,0.125,2452
2016,15 - 19 years,Male,0.275,2874
2016,15 - 19 years,Male,0.375,1819
2016,15 - 19 years,Male,0.525,507
2016,15 - 19 years,Male,1.25,732
2016,15 - 19 years,Male,1.3,287
2016,15 - 19 years,Female,0.125,1811
2016,15 - 19 years,Female,0.275,2111
2016,15 - 19 years,Female,0.375,1118
2016,15 - 19 years,Female,0.525,300
2016,15 - 19 years,Female,1.25,331
2016,15 - 19 years,Female,1.3,138
2016,20 - 24 years,Male,0.125,13311
2016,20 - 24 years,Male,0.275,17932
2016,20 - 24 years,Male,0.375,12367
2016,20 - 24 years,Male,0.525,4154
2016,20 - 24 years,Male,1.25,4888
2016,20 - 24 years,Male,1.3,2041
2016,20 - 24 years,Female,0.125,13232
2016,20 - 24 years,Female,0.275,17662
2016,20 - 24 years,Female,0.375,11372
2016,20 - 24 years,Female,0.525,3808
2016,20 - 24 years,Female,1.25,4115
2016,20 - 24 years,Female,1.3,1307
2016,25 - 29 years,Male,0.125,21068
2016,25 - 29 years,Male,0.275,29402
2016,25 - 29 years,Male,0.375,22086
2016,25 - 29 years,Male,0.525,7561
2016,25 - 29 years,Male,1.25,8537
2016,25 - 29 years,Male,1.3,3240
2016,25 - 29 years,Female,0.125,23301
2016,25 - 29 years,Female,0.275,32413
2016,25 - 29 years,Female,0.375,22433
2016,25 - 29 years,Female,0.525,8163
2016,25 - 29 years,Female,1.25,7383
2016,25 - 29 years,Female,1.3,2262
2016,30 - 34 years,Male,0.125,28180
2016,30 - 34 years,Male,0.275,37940
2016,30 - 34 years,Male,0.375,30342
2016,30 - 34 years,Male,0.525,10743
2016,30 - 34 years,Male,1.25,12846
2016,30 - 34 years,Male,1.3,4711
2016,30 - 34 years,Female,0.125,30453
2016,30 - 34 years,Female,0.275,41923
2016,30 - 34 years,Female,0.375,30261
2016,30 - 34 years,Female,0.525,11743
2016,30 - 34 years,Female,1.25,10500
2016,30 - 34 years,Female,1.3,2883
2016,35 - 39 years,Male,0.125,30472
2016,35 - 39 years,Male,0.275,41180
2016,35 - 39 years,Male,0.375,34578
2016,35 - 39 years,Male,0.525,13287
2016,35 - 39 years,Male,1.25,15392
2016,35 - 39 years,Male,1.3,5948
2016,35 - 39 years,Female,0.125,30427
2016,35 - 39 years,Female,0.275,41900
2016,35 - 39 years,Female,0.375,31505
2016,35 - 39 years,Female,0.525,12474
2016,35 - 39 years,Female,1.25,11342
2016,35 - 39 years,Female,1.3,3214
2016,40 - 44 years,Male,0.125,27457
2016,40 - 44 years,Male,0.275,36630
2016,40 - 44 years,Male,0.375,31360
2016,40 - 44 years,Male,0.525,12025
2016,40 - 44 years,Male,1.25,14147
2016,40 - 44 years,Male,1.3,6070
2016,40 - 44 years,Female,0.125,27884
2016,40 - 44 years,Female,0.275,37173
2016,40 - 44 years,Female,0.375,26001
2016,40 - 44 years,Female,0.525,9834
2016,40 - 44 years,Female,1.25,8949
2016,40 - 44 years,Female,1.3,2662
2016,45 - 49 years,Male,0.125,25064
2016,45 - 49 years,Male,0.275,32473
2016,45 - 49 years,Male,0.375,26367
2016,45 - 49 years,Male,0.525,9784
2016,45 - 49 years,Male,1.25,11610
2016,45 - 49 years,Male,1.3,4915
2016,45 - 49 years,Female,0.125,27251
2016,45 - 49 years,Female,0.275,33149
2016,45 - 49 years,Female,0.375,20870
2016,45 - 49 years,Female,0.525,7591
2016,45 - 49 years,Female,1.25,6333
2016,45 - 49 years,Female,1.3,2011
2016,50 - 54 years,Male,0.125,23104
2016,50 - 54 years,Male,0.275,28407
2016,50 - 54 years,Male,0.375,21898
2016,50 - 54 years,Male,0.525,7899
2016,50 - 54 years,Male,1.25,8824
2016,50 - 54 years,Male,1.3,3668
2016,50 - 54 years,Female,0.125,26075
2016,50 - 54 years,Female,0.275,30910
2016,50 - 54 years,Female,0.375,17661
2016,50 - 54 years,Female,0.525,6109
2016,50 - 54 years,Female,1.25,4947
2016,50 - 54 years,Female,1.3,1497
2016,55 - 59 years,Male,0.125,19557
2016,55 - 59 years,Male,0.275,23087
2016,55 - 59 years,Male,0.375,17039
2016,55 - 59 years,Male,0.525,5705
2016,55 - 59 years,Male,1.25,5994
2016,55 - 59 years,Male,1.3,2409
2016,55 - 59 years,Female,0.125,20720
2016,55 - 59 years,Female,0.275,24264
2016,55 - 59 years,Female,0.375,13286
2016,55 - 59 years,Female,0.525,4455
2016,55 - 59 years,Female,1.25,3332
2016,55 - 59 years,Female,1.3,926
