year,sex,means_of_travel,age,edu_level,value
1991,Female,motorbike,>=19,university,166
1991,Female,car,>=15,junior-cert,138955
1991,Female,car,5 to 12,primary-school,0
1991,Female,car,13 to 18,leaving-cert,280
1991,Female,car,>=19,university,1363
1991,Female,carpool,>=15,junior-cert,57932
1991,Female,carpool,5 to 12,primary-school,73638
1991,Female,carpool,13 to 18,leaving-cert,27145
1991,Female,carpool,>=19,university,2740
1991,Female,truck,>=15,junior-cert,4257
1991,Female,truck,5 to 12,primary-school,1291
1991,Female,truck,13 to 18,leaving-cert,594
1991,Female,truck,>=19,university,136
1991,Female,remote,>=15,junior-cert,36126
1991,Female,remote,5 to 12,primary-school,513
1991,Female,remote,13 to 18,leaving-cert,2060
1991,Female,remote,>=19,university,560
1996,Male,walking,>=15,junior-cert,67964
1996,Male,walking,5 to 12,primary-school,79164
1996,Male,walking,13 to 18,leaving-cert,48906
1996,Male,walking,>=19,university,13491
1996,Male,bike,>=15,junior-cert,33852
1996,Male,bike,5 to 12,primary-school,7837
1996,Male,bike,13 to 18,leaving-cert,21783
1996,Male,bike,>=19,university,8217
1996,Male,bus,>=15,junior-cert,40512
1996,Male,bus,5 to 12,primary-school,51008
1996,Male,bus,13 to 18,leaving-cert,67519
1996,Male,bus,>=19,university,12781
1996,Male,train,>=15,junior-cert,11489
1996,Male,train,5 to 12,primary-school,306
1996,Male,train,13 to 18,leaving-cert,2330
1996,Male,train,>=19,university,3148
1996,Male,motorbike,>=15,junior-cert,10874
1996,Male,motorbike,5 to 12,primary-school,0
1996,Male,motorbike,13 to 18,leaving-cert,238
1996,Male,motorbike,>=19,university,569
1996,Male,car,>=15,junior-cert,378075
1996,Male,car,5 to 12,primary-school,0
1996,Male,car,13 to 18,leaving-cert,636
1996,Male,car,>=19,university,3077
1996,Male,carpool,>=15,junior-cert,45519
1996,Male,carpool,5 to 12,primary-school,84966
1996,Male,carpool,13 to 18,leaving-cert,33103
1996,Male,carpool,>=19,university,4259
1996,Male,truck,>=15,junior-cert,51862
1996,Male,truck,5 to 12,primary-school,1109
1996,Male,truck,13 to 18,leaving-cert,728
1996,Male,truck,>=19,university,325
1996,Male,remote,>=15,junior-cert,127913
1996,Male,remote,5 to 12,primary-school,2410
1996,Male,remote,13 to 18,leaving-cert,4311
1996,Male,remote,>=19,university,1193
1996,Female,walking,>=15,junior-cert,80412
1996,Female,walking,5 to 12,primary-school,75612
1996,Female,walking,13 to 18,leaving-cert,53325
1996,Female,walking,>=19,university,18067
1996,Female,bike,>=15,junior-cert,12580
1996,Female,bike,5 to 12,primary-school,3834
1996,Female,bike,13 to 18,leaving-cert,6419
1996,Female,bike,>=19,university,4486
1996,Female,bus,>=15,junior-cert,57777
1996,Female,bus,5 to 12,primary-school,49425
1996,Female,bus,13 to 18,leaving-cert,75308
1996,Female,bus,>=19,university,15256
1996,Female,train,>=15,junior-cert,11079
1996,Female,train,5 to 12,primary-school,208
1996,Female,train,13 to 18,leaving-cert,2327
1996,Female,train,>=19,university,3214
1996,Female,motorbike,>=15,junior-cert,1290
1996,Female,motorbike,5 to 12,primary-school,0
1996,Female,motorbike,13 to 18,leaving-cert,37
1996,Female,motorbike,>=19,university,156
1996,Female,car,>=15,junior-cert,221207
1996,Female,car,5 to 12,primary-school,0
1996,Female,car,13 to 18,leaving-cert,463
1996,Female,car,>=19,university,2959
1996,Female,carpool,>=15,junior-cert,66913
1996,Female,carpool,5 to 12,primary-school,82938
1996,Female,carpool,13 to 18,leaving-cert,38592
1996,Female,carpool,>=19,university,4663
1996,Female,truck,>=15,junior-cert,3296
1996,Female,truck,5 to 12,primary-school,1094
1996,Female,truck,13 to 18,leaving-cert,650
1996,Female,truck,>=19,university,227
1996,Female,remote,>=15,junior-cert,30836
1996,Female,remote,5 to 12,primary-school,2337
1996,Female,remote,13 to 18,leaving-cert,2774
1996,Female,remote,>=19,university,1119
2002,Male,walking,>=15,junior-cert,83279
2002,Male,walking,5 to 12,primary-school,57570
2002,Male,walking,13 to 18,leaving-cert,40249
2002,Male,walking,>=19,university,18273
2002,Male,bike,>=15,junior-cert,26423
2002,Male,bike,5 to 12,primary-school,3640
2002,Male,bike,13 to 18,leaving-cert,10072
2002,Male,bike,>=19,university,5516
2002,Male,bus,>=15,junior-cert,48286
2002,Male,bus,5 to 12,primary-school,38590
2002,Male,bus,13 to 18,leaving-cert,57417
2002,Male,bus,>=19,university,16507
2002,Male,train,>=15,junior-cert,16897
2002,Male,train,5 to 12,primary-school,262
2002,Male,train,13 to 18,leaving-cert,2132
2002,Male,train,>=19,university,3800
2002,Male,motorbike,>=15,junior-cert,15122
2002,Male,motorbike,5 to 12,primary-school,0
2002,Male,motorbike,13 to 18,leaving-cert,1205
2002,Male,motorbike,>=19,university,1221
2002,Male,car,>=15,junior-cert,500004
2002,Male,car,5 to 12,primary-school,0
2002,Male,car,13 to 18,leaving-cert,1388
2002,Male,car,>=19,university,8643
2002,Male,carpool,>=15,junior-cert,52705
2002,Male,carpool,5 to 12,primary-school,110882
2002,Male,carpool,13 to 18,leaving-cert,42001
2002,Male,carpool,>=19,university,5736
2002,Male,truck,>=15,junior-cert,111891
2002,Male,truck,5 to 12,primary-school,1049
2002,Male,truck,13 to 18,leaving-cert,599
2002,Male,truck,>=19,university,396
2002,Male,remote,>=15,junior-cert,72712
2002,Male,remote,5 to 12,primary-school,3489
2002,Male,remote,13 to 18,leaving-cert,2595
2002,Male,remote,>=19,university,1064
2002,Female,walking,>=15,junior-cert,100569
2002,Female,walking,5 to 12,primary-school,54941
2002,Female,walking,13 to 18,leaving-cert,42367
2002,Female,walking,>=19,university,26235
2002,Female,bike,>=15,junior-cert,7827
2002,Female,bike,5 to 12,primary-school,1188
2002,Female,bike,13 to 18,leaving-cert,1046
2002,Female,bike,>=19,university,2130
2002,Female,bus,>=15,junior-cert,59029
