year,sex,means_of_travel,age_range,edu_status,value
1991,Male,bike,19-66,at university,7612
1991,Male,bus,15-66,working,35824
1991,Male,bus,5-12,at primary school,55474
1991,Male,bus,13-18,at secondary school,57146
1991,Male,bus,19-66,at university,7880
1991,Male,train,15-66,working,10352
1991,Male,train,5-12,at primary school,438
1991,Male,train,13-18,at secondary school,2263
1991,Male,train,19-66,at university,2464
1991,Male,motorbike,15-66,working,10463
1991,Male,motorbike,5-12,at primary school,0
1991,Male,motorbike,13-18,at secondary school,293
1991,Male,motorbike,19-66,at university,523
1991,Male,car,15-66,working,303338
1991,Male,car,5-12,at primary school,0
1991,Male,car,13-18,at secondary school,396
1991,Male,car,19-66,at university,1896
1991,Male,carpool,15-66,working,33067
1991,Male,carpool,5-12,at primary school,73398
1991,Male,carpool,13-18,at secondary school,21937
1991,Male,carpool,19-66,at university,2646
1991,Male,truck,15-66,working,41646
1991,Male,truck,5-12,at primary school,1375
1991,Male,truck,13-18,at secondary school,648
1991,Male,truck,19-66,at university,241
1991,Male,remote,15-66,working,189110
1991,Male,remote,5-12,at primary school,639
1991,Male,remote,13-18,at secondary school,4099
1991,Male,remote,19-66,at university,994
1991,Female,walking,15-66,working,67169
1991,Female,walking,5-12,at primary school,101942
1991,Female,walking,13-18,at secondary school,52886
1991,Female,walking,19-66,at university,10126
1991,Female,bike,15-66,working,15920
1991,Female,bike,5-12,at primary school,8204
1991,Female,bike,13-18,at secondary school,14772
1991,Female,bike,19-66,at university,4286
1991,Female,bus,15-66,working,51553
1991,Female,bus,5-12,at primary school,54271
1991,Female,bus,13-18,at secondary school,66989
1991,Female,bus,19-66,at university,8651
1991,Female,train,15-66,working,9482
1991,Female,train,5-12,at primary school,297
1991,Female,train,13-18,at secondary school,2562
1991,Female,train,19-66,at university,2356
1991,Female,motorbike,15-66,working,2250
1991,Female,motorbike,5-12,at primary school,0
1991,Female,motorbike,13-18,at secondary school,61
1991,Female,motorbike,19-66,at university,166
1991,Female,car,15-66,working,138955
1991,Female,car,5-12,at primary school,0
1991,Female,car,13-18,at secondary school,280
1991,Female,car,19-66,at university,1363
1991,Female,carpool,15-66,working,57932
1991,Female,carpool,5-12,at primary school,73638
1991,Female,carpool,13-18,at secondary school,27145
1991,Female,carpool,19-66,at university,2740
1991,Female,truck,15-66,working,4257
1991,Female,truck,5-12,at primary school,1291
1991,Female,truck,13-18,at secondary school,594
1991,Female,truck,19-66,at university,136
1991,Female,remote,15-66,working,36126
1991,Female,remote,5-12,at primary school,513
