capacity,episodes,reward
500k,34,-20.88888888888889
500k,35,-20.9
500k,36,-20.9
500k,37,-20.9
500k,38,-20.9
500k,39,-20.90909090909091
500k,40,-20.90909090909091
500k,41,-20.90909090909091
500k,42,-20.90909090909091
500k,43,-20.916666666666668
500k,44,-20.916666666666668
500k,45,-20.916666666666668
500k,46,-20.916666666666668
500k,47,-20.923076923076923
500k,48,-20.923076923076923
500k,49,-20.923076923076923
500k,50,-20.923076923076923
500k,51,-20.928571428571427
500k,52,-20.928571428571427
500k,53,-20.928571428571427
500k,54,-20.928571428571427
500k,55,-20.933333333333334
500k,56,-20.933333333333334
500k,57,-20.933333333333334
500k,58,-20.933333333333334
500k,59,-20.9375
500k,60,-20.9375
500k,61,-20.9375
500k,62,-20.9375
500k,63,-20.941176470588236
500k,64,-20.941176470588236
500k,65,-20.941176470588236
500k,66,-20.941176470588236
500k,67,-20.88888888888889
500k,68,-20.88888888888889
500k,69,-20.88888888888889
500k,70,-20.88888888888889
500k,71,-20.894736842105264
500k,72,-20.894736842105264
500k,73,-20.894736842105264
500k,74,-20.894736842105264
500k,75,-20.9
500k,76,-20.9
500k,77,-20.9
500k,78,-20.9
500k,79,-20.904761904761905
500k,80,-20.904761904761905
500k,81,-20.904761904761905
500k,82,-20.904761904761905
500k,83,-20.90909090909091
500k,84,-20.90909090909091
500k,85,-20.90909090909091
500k,86,-20.90909090909091
500k,87,-20.90909090909091
500k,88,-20.869565217391305
500k,89,-20.869565217391305
500k,90,-20.869565217391305
500k,91,-20.869565217391305
500k,92,-20.875
500k,93,-20.875
500k,94,-20.875
500k,95,-20.875
500k,96,-20.875
500k,97,-20.88
500k,98,-20.88
500k,99,-20.88
500k,100,-20.88
500k,101,-20.884615384615383
500k,102,-20.884615384615383
500k,103,-20.884615384615383
500k,104,-20.884615384615383
500k,105,-20.85185185185185
500k,106,-20.85185185185185
500k,107,-20.85185185185185
500k,108,-20.85185185185185
500k,109,-20.821428571428573
500k,110,-20.821428571428573
500k,111,-20.821428571428573
500k,112,-20.821428571428573
500k,113,-20.82758620689655
500k,114,-20.82758620689655
500k,115,-20.82758620689655
500k,116,-20.82758620689655
500k,117,-20.833333333333332
500k,118,-20.833333333333332
500k,119,-20.833333333333332
500k,120,-20.833333333333332
500k,121,-20.838709677419356
500k,122,-20.838709677419356
500k,123,-20.838709677419356
500k,124,-20.838709677419356
500k,125,-20.84375
500k,126,-20.84375
500k,127,-20.84375
500k,128,-20.84375
500k,129,-20.84375
500k,130,-20.848484848484848
500k,131,-20.848484848484848
500k,132,-20.848484848484848
500k,133,-20.848484848484848
500k,134,-20.823529411764707
500k,135,-20.823529411764707
500k,136,-20.823529411764707
500k,137,-20.823529411764707
500k,138,-20.82857142857143
500k,139,-20.82857142857143
500k,140,-20.82857142857143
500k,141,-20.82857142857143
500k,142,-20.833333333333332
500k,143,-20.833333333333332
500k,144,-20.833333333333332
500k,145,-20.833333333333332
500k,146,-20.83783783783784
500k,147,-20.83783783783784
500k,148,-20.83783783783784
500k,149,-20.83783783783784
500k,150,-20.842105263157894
500k,151,-20.842105263157894
500k,152,-20.842105263157894
500k,153,-20.842105263157894
500k,154,-20.846153846153847
500k,155,-20.846153846153847
500k,156,-20.846153846153847
500k,157,-20.846153846153847
500k,158,-20.846153846153847
500k,159,-20.85
500k,160,-20.85
500k,161,-20.85
500k,162,-20.85
500k,163,-20.853658536585368
500k,164,-20.853658536585368
500k,165,-20.853658536585368
500k,166,-20.853658536585368
500k,167,-20.833333333333332
500k,168,-20.833333333333332
500k,169,-20.833333333333332
500k,170,-20.833333333333332
500k,171,-20.837209302325583
500k,172,-20.837209302325583
500k,173,-20.837209302325583
500k,174,-20.837209302325583
500k,175,-20.818181818181817
500k,176,-20.818181818181817
500k,177,-20.818181818181817
