capacity,episodes,reward
1M,188,382.22222222222223
1M,189,377.17391304347825
1M,190,370.21276595744683
1M,191,363.5416666666667
1M,192,363.5416666666667
1M,193,363.5416666666667
1M,194,363.5416666666667
1M,195,363.5416666666667
1M,196,364.2857142857143
1M,197,358.0
1M,198,358.0
500k,0,100.0
500k,1,100.0
500k,2,133.33333333333334
500k,3,187.5
500k,4,187.5
500k,5,187.5
500k,6,187.5
500k,7,187.5
500k,8,187.5
500k,9,187.5
500k,10,187.5
500k,11,187.5
500k,12,187.5
500k,13,187.5
500k,14,187.5
500k,15,187.5
500k,16,390.0
500k,17,390.0
500k,18,390.0
500k,19,375.0
500k,20,375.0
500k,21,375.0
500k,22,350.0
500k,23,312.5
500k,24,312.5
500k,25,312.5
500k,26,300.0
500k,27,300.0
500k,28,300.0
500k,29,300.0
500k,30,300.0
500k,31,300.0
500k,32,325.0
500k,33,325.0
500k,34,327.27272727272725
500k,35,327.27272727272725
500k,36,327.27272727272725
500k,37,327.27272727272725
500k,38,327.27272727272725
500k,39,327.27272727272725
500k,40,327.27272727272725
500k,41,327.27272727272725
500k,42,366.6666666666667
500k,43,346.15384615384613
500k,44,346.15384615384613
500k,45,346.15384615384613
500k,46,346.15384615384613
500k,47,346.15384615384613
500k,48,346.15384615384613
500k,49,353.57142857142856
500k,50,353.57142857142856
500k,51,353.57142857142856
500k,52,353.57142857142856
500k,53,356.6666666666667
500k,54,356.6666666666667
500k,55,334.375
500k,56,334.375
500k,57,334.375
500k,58,334.375
500k,59,334.375
500k,60,334.375
500k,61,350.0
500k,62,350.0
500k,63,350.0
500k,64,350.0
500k,65,347.22222222222223
500k,66,331.57894736842104
500k,67,331.57894736842104
500k,68,331.57894736842104
500k,69,331.57894736842104
500k,70,331.57894736842104
500k,71,331.57894736842104
500k,72,331.57894736842104
500k,73,345.0
500k,74,345.0
500k,75,345.0
500k,76,340.4761904761905
500k,77,340.4761904761905
500k,78,340.4761904761905
500k,79,331.8181818181818
500k,80,331.8181818181818
500k,81,331.8181818181818
500k,82,332.60869565217394
500k,83,332.60869565217394
500k,84,322.9166666666667
500k,85,322.9166666666667
500k,86,322.9166666666667
500k,87,322.9166666666667
500k,88,322.9166666666667
500k,89,322.9166666666667
500k,90,334.0
500k,91,323.0769230769231
500k,92,323.0769230769231
500k,93,323.0769230769231
500k,94,318.51851851851853
500k,95,308.92857142857144
500k,96,300.0
500k,97,300.0
500k,98,295.0
500k,99,295.0
500k,100,288.7096774193548
500k,101,288.7096774193548
500k,102,288.7096774193548
500k,103,288.7096774193548
500k,104,288.7096774193548
500k,105,288.7096774193548
500k,106,295.3125
500k,107,295.3125
500k,108,289.3939393939394
500k,109,289.3939393939394
500k,110,283.8235294117647
500k,111,283.8235294117647
500k,112,278.57142857142856
500k,113,278.57142857142856
500k,114,278.57142857142856
500k,115,278.57142857142856
500k,116,280.55555555555554
500k,117,280.55555555555554
500k,118,283.7837837837838
500k,119,277.63157894736844
500k,120,277.63157894736844
500k,121,277.63157894736844
500k,122,277.63157894736844
500k,123,280.7692307692308
500k,124,280.7692307692308
500k,125,277.5
500k,126,271.9512195121951
500k,127,271.9512195121951
500k,128,271.9512195121951
500k,129,271.42857142857144
500k,130,267.4418604651163
500k,131,267.4418604651163
500k,132,267.4418604651163
500k,133,267.04545454545456
500k,134,267.04545454545456
500k,135,267.04545454545456
500k,136,265.55555555555554
500k,137,265.55555555555554
500k,138,265.55555555555554
500k,139,266.30434782608694
500k,140,266.30434782608694
500k,141,263.82978723404256
500k,142,263.82978723404256
500k,143,263.82978723404256
500k,144,263.82978723404256
500k,145,263.82978723404256
500k,146,263.82978723404256
500k,147,268.75
500k,148,268.75
500k,149,268.75
500k,150,268.75
500k,151,268.75
500k,152,273.46938775510205
500k,153,273.46938775510205
500k,154,271.0
500k,155,271.0
500k,156,269.6078431372549
500k,157,269.6078431372549
500k,158,270.1923076923077
500k,159,270.1923076923077
500k,160,267.92452830188677
500k,161,267.92452830188677
500k,162,267.92452830188677
500k,163,267.92452830188677
500k,164,270.3703703703704
500k,165,266.3636363636364
500k,166,266.3636363636364
500k,167,266.3636363636364
500k,168,266.3636363636364
500k,169,266.3636363636364
500k,170,266.3636363636364
500k,171,266.3636363636364
500k,172,266.3636363636364
500k,173,276.7857142857143
500k,174,273.6842105263158
500k,175,273.6842105263158
500k,176,271.55172413793105
500k,177,271.55172413793105
500k,178,271.55172413793105
500k,179,273.728813559322
500k,180,273.728813559322
500k,181,273.728813559322
500k,182,273.728813559322
500k,183,273.728813559322
500k,184,276.6666666666667
500k,185,276.6666666666667
500k,186,276.6666666666667
500k,187,275.40983606557376
500k,188,275.40983606557376
500k,189,272.5806451612903
500k,190,272.5806451612903
500k,191,272.5806451612903
500k,192,271.42857142857144
500k,193,267.96875
500k,194,267.96875
500k,195,266.15384615384613
500k,196,266.15384615384613
500k,197,266.15384615384613
500k,198,266.15384615384613
100k,0,400.0
100k,1,400.0
100k,2,375.0
100k,3,333.3333333333333
100k,4,300.0
100k,5,300.0
100k,6,280.0
100k,7,280.0
100k,8,280.0
100k,9,266.6666666666667
100k,10,266.6666666666667
100k,11,266.6666666666667
100k,12,257.14285714285717
100k,13,257.14285714285717
100k,14,237.5
100k,15,222.22222222222223
100k,16,222.22222222222223
100k,17,222.22222222222223
100k,18,225.0
100k,19,209.0909090909091
100k,20,209.0909090909091
100k,21,209.0909090909091
100k,22,204.16666666666666
100k,23,204.16666666666666
100k,24,207.69230769230768
100k,25,200.0
100k,26,200.0
100k,27,200.0
100k,28,200.0
100k,29,200.0
100k,30,200.0
100k,31,200.0
100k,32,200.0
100k,33,200.0
100k,34,200.0
100k,35,200.0
100k,36,260.0
100k,37,260.0
100k,38,260.0
100k,39,260.0
100k,40,260.0
100k,41,275.0
100k,42,275.0
100k,43,267.6470588235294
100k,44,267.6470588235294
100k,45,267.6470588235294
100k,46,266.6666666666667
100k,47,266.6666666666667
100k,48,266.6666666666667
100k,49,260.5263157894737
100k,50,260.5263157894737
100k,51,260.5263157894737
100k,52,260.5263157894737
100k,53,262.5
100k,54,262.5
100k,55,259.5238095238095
100k,56,259.5238095238095
100k,57,254.54545454545453
100k,58,254.54545454545453
100k,59,250.0
100k,60,250.0
100k,61,250.0
100k,62,250.0
100k,63,252.08333333333334
100k,64,252.08333333333334
100k,65,252.08333333333334
100k,66,252.08333333333334
100k,67,254.0
100k,68,254.0
100k,69,250.0
100k,70,250.0
100k,71,250.0
100k,72,250.0
100k,73,250.0
100k,74,250.0
100k,75,250.0
100k,76,262.962962962963
100k,77,262.962962962963
100k,78,257.14285714285717
100k,79,251.72413793103448
100k,80,251.72413793103448
100k,81,245.0
100k,82,245.0
100k,83,245.0
100k,84,245.0
100k,85,245.0
100k,86,254.83870967741936
100k,87,254.83870967741936
100k,88,254.83870967741936
100k,89,254.83870967741936
100k,90,254.83870967741936
100k,91,254.83870967741936
100k,92,265.625
100k,93,265.625
100k,94,260.6060606060606
100k,95,255.88235294117646
100k,96,255.88235294117646
100k,97,255.88235294117646
100k,98,255.88235294117646
100k,99,255.88235294117646
100k,100,261.42857142857144
100k,101,261.42857142857144
100k,102,261.42857142857144
100k,103,261.42857142857144
100k,104,261.42857142857144
