capacity,episodes,reward
500k,92,-192.42857142857142
500k,93,-192.42857142857142
500k,94,-184.0
500k,95,-184.0
500k,96,-184.0
500k,97,-184.0
500k,98,-184.0
500k,99,-184.0
500k,100,-184.0
500k,101,-184.0
500k,102,-184.0
500k,103,-184.0
500k,104,-184.0
500k,105,-184.0
500k,106,-184.0
500k,107,-184.0
500k,108,-163.55555555555554
500k,109,-163.55555555555554
500k,110,-163.55555555555554
500k,111,-163.55555555555554
500k,112,-163.55555555555554
500k,113,-163.55555555555554
500k,114,-163.55555555555554
500k,115,-163.55555555555554
500k,116,-163.55555555555554
500k,117,-163.55555555555554
500k,118,-163.55555555555554
500k,119,-163.55555555555554
500k,120,-163.55555555555554
500k,121,-158.1
500k,122,-158.1
500k,123,-158.1
500k,124,-158.1
500k,125,-158.1
500k,126,-158.1
500k,127,-158.1
500k,128,-158.1
500k,129,-158.1
500k,130,-158.1
500k,131,-158.1
500k,132,-158.1
500k,133,-158.1
500k,134,-158.1
500k,135,-134.63636363636363
500k,136,-134.63636363636363
500k,137,-134.63636363636363
500k,138,-134.63636363636363
500k,139,-134.63636363636363
500k,140,-134.63636363636363
500k,141,-134.63636363636363
500k,142,-134.63636363636363
500k,143,-134.63636363636363
500k,144,-134.63636363636363
500k,145,-134.63636363636363
500k,146,-134.63636363636363
500k,147,-134.63636363636363
500k,148,-186.83333333333334
500k,149,-186.83333333333334
500k,150,-186.83333333333334
500k,151,-186.83333333333334
500k,152,-186.83333333333334
500k,153,-186.83333333333334
500k,154,-186.83333333333334
500k,155,-186.83333333333334
500k,156,-186.83333333333334
500k,157,-186.83333333333334
500k,158,-186.83333333333334
500k,159,-186.83333333333334
500k,160,-186.83333333333334
500k,161,-186.83333333333334
500k,162,-164.76923076923077
500k,163,-164.76923076923077
500k,164,-164.76923076923077
500k,165,-164.76923076923077
500k,166,-164.76923076923077
500k,167,-164.76923076923077
500k,168,-164.76923076923077
500k,169,-164.76923076923077
500k,170,-164.76923076923077
500k,171,-164.76923076923077
500k,172,-164.76923076923077
500k,173,-164.76923076923077
500k,174,-164.76923076923077
500k,175,-145.85714285714286
500k,176,-145.85714285714286
500k,177,-145.85714285714286
500k,178,-145.85714285714286
500k,179,-145.85714285714286
500k,180,-145.85714285714286
500k,181,-145.85714285714286
500k,182,-145.85714285714286
500k,183,-145.85714285714286
500k,184,-145.85714285714286
500k,185,-145.85714285714286
500k,186,-145.85714285714286
100k,0,-966.0
100k,1,-966.0
100k,2,-966.0
100k,3,-966.0
100k,4,-966.0
100k,5,-966.0
100k,6,-966.0
100k,7,-966.0
100k,8,-966.0
100k,9,-966.0
100k,10,-966.0
100k,11,-966.0
100k,12,-966.0
100k,13,-983.0
100k,14,-983.0
100k,15,-983.0
100k,16,-983.0
100k,17,-983.0
100k,18,-983.0
100k,19,-983.0
100k,20,-983.0
100k,21,-983.0
100k,22,-983.0
100k,23,-983.0
100k,24,-983.0
100k,25,-983.0
100k,26,-983.0
100k,27,-622.0
100k,28,-622.0
100k,29,-622.0
100k,30,-622.0
100k,31,-622.0
100k,32,-622.0
100k,33,-622.0
100k,34,-622.0
100k,35,-622.0
100k,36,-622.0
100k,37,-622.0
100k,38,-622.0
100k,39,-622.0
100k,40,-441.5
100k,41,-441.5
100k,42,-441.5
100k,43,-441.5
100k,44,-441.5
100k,45,-441.5
100k,46,-441.5
100k,47,-441.5
100k,48,-441.5
100k,49,-441.5
100k,50,-441.5
100k,51,-441.5
100k,52,-441.5
100k,53,-441.5
100k,54,-333.2
100k,55,-333.2
