capacity,episodes,reward
1M,99,207.66666666666666
1M,100,207.66666666666666
1M,101,206.1290322580645
1M,102,206.1290322580645
1M,103,206.1290322580645
1M,104,206.1290322580645
1M,105,206.1290322580645
1M,106,211.5625
1M,107,211.5625
1M,108,211.5625
1M,109,211.5625
1M,110,211.5625
1M,111,209.3939393939394
1M,112,209.3939393939394
1M,113,209.3939393939394
1M,114,209.3939393939394
1M,115,209.41176470588235
1M,116,209.41176470588235
1M,117,209.41176470588235
1M,118,209.41176470588235
1M,119,214.57142857142858
1M,120,214.57142857142858
1M,121,214.57142857142858
1M,122,212.22222222222223
1M,123,212.22222222222223
1M,124,212.22222222222223
1M,125,214.05405405405406
1M,126,214.05405405405406
1M,127,214.05405405405406
1M,128,214.05405405405406
1M,129,214.05405405405406
1M,130,212.10526315789474
1M,131,212.10526315789474
1M,132,212.10526315789474
1M,133,213.84615384615384
1M,134,213.84615384615384
1M,135,213.84615384615384
1M,136,215.5
1M,137,215.5
1M,138,215.5
1M,139,212.9268292682927
1M,140,212.9268292682927
1M,141,212.9268292682927
1M,142,212.9268292682927
1M,143,214.04761904761904
1M,144,214.04761904761904
1M,145,214.04761904761904
1M,146,215.58139534883722
1M,147,213.86363636363637
1M,148,213.86363636363637
1M,149,213.86363636363637
1M,150,213.86363636363637
1M,151,222.0
1M,152,222.0
1M,153,222.0
1M,154,220.65217391304347
1M,155,220.65217391304347
1M,156,220.65217391304347
1M,157,218.93617021276594
1M,158,218.93617021276594
1M,159,218.93617021276594
1M,160,218.93617021276594
1M,161,218.93617021276594
1M,162,218.93617021276594
1M,163,223.95833333333334
1M,164,223.95833333333334
1M,165,223.95833333333334
1M,166,221.6326530612245
1M,167,221.6326530612245
1M,168,220.4
1M,169,220.4
1M,170,220.4
1M,171,220.4
1M,172,220.4
1M,173,222.54901960784315
1M,174,222.54901960784315
1M,175,222.54901960784315
1M,176,221.73076923076923
1M,177,221.73076923076923
1M,178,221.73076923076923
1M,179,221.73076923076923
1M,180,221.73076923076923
