capacity,episodes,reward
500k,31,118.18181818181819
500k,32,118.18181818181819
500k,33,133.33333333333334
500k,34,133.33333333333334
500k,35,133.33333333333334
500k,36,133.33333333333334
500k,37,138.46153846153845
500k,38,138.46153846153845
500k,39,128.57142857142858
500k,40,128.57142857142858
500k,41,128.57142857142858
500k,42,128.57142857142858
500k,43,133.33333333333334
500k,44,133.33333333333334
500k,45,133.33333333333334
500k,46,133.33333333333334
500k,47,133.33333333333334
500k,48,133.33333333333334
500k,49,133.33333333333334
500k,50,150.0
500k,51,150.0
500k,52,150.0
500k,53,150.0
500k,54,150.0
500k,55,141.1764705882353
500k,56,141.1764705882353
500k,57,141.1764705882353
500k,58,141.1764705882353
500k,59,141.1764705882353
500k,60,141.1764705882353
500k,61,150.0
500k,62,142.10526315789474
500k,63,142.10526315789474
500k,64,140.0
500k,65,140.0
500k,66,133.33333333333334
500k,67,127.27272727272727
500k,68,127.27272727272727
500k,69,126.08695652173913
500k,70,125.0
500k,71,125.0
500k,72,120.0
500k,73,120.0
500k,74,120.0
500k,75,123.07692307692308
500k,76,123.07692307692308
500k,77,123.07692307692308
500k,78,123.07692307692308
500k,79,129.62962962962962
500k,80,129.62962962962962
500k,81,129.62962962962962
500k,82,132.14285714285714
500k,83,132.14285714285714
500k,84,132.14285714285714
500k,85,127.58620689655173
500k,86,127.58620689655173
500k,87,127.58620689655173
500k,88,127.58620689655173
500k,89,130.0
500k,90,130.0
500k,91,130.0
500k,92,132.25806451612902
500k,93,132.25806451612902
500k,94,132.25806451612902
500k,95,134.375
500k,96,134.375
500k,97,133.33333333333334
500k,98,133.33333333333334
500k,99,133.33333333333334
500k,100,133.33333333333334
500k,101,135.2941176470588
500k,102,135.2941176470588
500k,103,135.2941176470588
500k,104,135.2941176470588
500k,105,135.2941176470588
500k,106,140.0
500k,107,140.0
500k,108,140.0
500k,109,140.0
500k,110,141.66666666666666
500k,111,141.66666666666666
500k,112,141.66666666666666
500k,113,141.66666666666666
500k,114,143.24324324324326
500k,115,143.24324324324326
500k,116,143.24324324324326
500k,117,143.24324324324326
500k,118,143.24324324324326
500k,119,144.73684210526315
500k,120,144.73684210526315
500k,121,144.73684210526315
500k,122,144.73684210526315
500k,123,148.71794871794873
500k,124,148.71794871794873
500k,125,148.71794871794873
500k,126,145.0
500k,127,145.0
500k,128,145.0
500k,129,145.0
500k,130,146.34146341463415
500k,131,146.34146341463415
500k,132,145.23809523809524
500k,133,145.23809523809524
500k,134,145.23809523809524
500k,135,145.23809523809524
500k,136,146.51162790697674
500k,137,146.51162790697674
500k,138,146.51162790697674
500k,139,146.51162790697674
500k,140,146.51162790697674
500k,141,147.72727272727272
500k,142,147.72727272727272
500k,143,146.66666666666666
500k,144,143.47826086956522
500k,145,143.47826086956522
500k,146,142.5531914893617
500k,147,142.5531914893617
500k,148,139.58333333333334
500k,149,139.58333333333334
500k,150,139.58333333333334
500k,151,139.58333333333334
500k,152,140.81632653061226
500k,153,138.0
500k,154,138.0
500k,155,135.2941176470588
500k,156,135.2941176470588
500k,157,132.69230769230768
500k,158,132.69230769230768
500k,159,132.69230769230768
500k,160,133.96226415094338
500k,161,133.96226415094338
500k,162,135.1851851851852
500k,163,135.1851851851852
500k,164,134.54545454545453
500k,165,134.54545454545453
500k,166,134.54545454545453
500k,167,134.54545454545453
500k,168,134.54545454545453
500k,169,134.54545454545453
500k,170,134.54545454545453
500k,171,139.28571428571428
500k,172,139.28571428571428
500k,173,139.28571428571428
500k,174,139.28571428571428
500k,175,139.28571428571428
500k,176,139.28571428571428
500k,177,139.28571428571428
500k,178,139.28571428571428
500k,179,142.10526315789474
500k,180,142.10526315789474
500k,181,142.10526315789474
500k,182,142.10526315789474
500k,183,142.10526315789474
500k,184,142.10526315789474
500k,185,142.10526315789474
500k,186,142.10526315789474
500k,187,144.82758620689654
500k,188,142.3728813559322
500k,189,140.0
500k,190,140.0
500k,191,140.0
500k,192,140.0
500k,193,140.0
500k,194,139.34426229508196
500k,195,139.34426229508196
500k,196,139.34426229508196
500k,197,139.34426229508196
500k,198,141.93548387096774
100k,0,400.0
100k,1,400.0
100k,2,200.0
100k,3,200.0
100k,4,200.0
100k,5,133.33333333333334
100k,6,133.33333333333334
100k,7,133.33333333333334
100k,8,133.33333333333334
100k,9,200.0
100k,10,200.0
100k,11,160.0
100k,12,160.0
100k,13,160.0
100k,14,160.0
100k,15,183.33333333333334
100k,16,183.33333333333334
100k,17,157.14285714285714
100k,18,137.5
100k,19,137.5
100k,20,122.22222222222223
100k,21,110.0
100k,22,110.0
100k,23,100.0
100k,24,100.0
100k,25,100.0
100k,26,108.33333333333333
100k,27,107.6923076923077
100k,28,107.6923076923077
100k,29,107.6923076923077
100k,30,107.6923076923077
100k,31,107.6923076923077
100k,32,114.28571428571429
100k,33,114.28571428571429
100k,34,106.66666666666667
100k,35,106.66666666666667
100k,36,106.66666666666667
100k,37,106.66666666666667
100k,38,106.25
100k,39,106.25
100k,40,100.0
100k,41,94.44444444444444
100k,42,94.44444444444444
100k,43,94.44444444444444
100k,44,94.44444444444444
100k,45,94.44444444444444
100k,46,105.26315789473684
100k,47,105.26315789473684
100k,48,105.26315789473684
100k,49,105.26315789473684
100k,50,110.0
100k,51,110.0
100k,52,110.0
100k,53,110.0
100k,54,110.0
100k,55,110.0
100k,56,110.0
100k,57,128.57142857142858
100k,58,128.57142857142858
100k,59,122.72727272727273
100k,60,122.72727272727273
100k,61,117.3913043478261
100k,62,117.3913043478261
100k,63,117.3913043478261
100k,64,117.3913043478261
100k,65,117.3913043478261
100k,66,117.3913043478261
100k,67,117.3913043478261
100k,68,117.3913043478261
100k,69,117.3913043478261
100k,70,117.3913043478261
100k,71,145.83333333333334
100k,72,145.83333333333334
100k,73,145.83333333333334
100k,74,140.0
100k,75,140.0
100k,76,140.0
100k,77,140.0
100k,78,146.15384615384616
100k,79,146.15384615384616
100k,80,146.15384615384616
100k,81,146.15384615384616
100k,82,146.15384615384616
100k,83,146.15384615384616
100k,84,148.14814814814815
100k,85,148.14814814814815
100k,86,148.14814814814815
100k,87,148.14814814814815
100k,88,153.57142857142858
100k,89,153.57142857142858
100k,90,153.57142857142858
100k,91,155.17241379310346
100k,92,155.17241379310346
100k,93,155.17241379310346
100k,94,155.17241379310346
100k,95,156.66666666666666
100k,96,156.66666666666666
100k,97,156.66666666666666
100k,98,156.66666666666666
100k,99,156.66666666666666
100k,100,154.83870967741936
100k,101,154.83870967741936
100k,102,154.83870967741936
100k,103,154.83870967741936
100k,104,154.83870967741936
100k,105,154.83870967741936
100k,106,154.83870967741936
100k,107,154.83870967741936
100k,108,154.83870967741936
100k,109,154.83870967741936
100k,110,154.83870967741936
100k,111,154.83870967741936
100k,112,154.83870967741936
100k,113,154.83870967741936
100k,114,154.83870967741936
100k,115,154.83870967741936
100k,116,154.83870967741936
100k,117,168.75
100k,118,168.75
100k,119,168.75
100k,120,168.75
100k,121,172.72727272727272
100k,122,172.72727272727272
100k,123,172.72727272727272
100k,124,172.72727272727272
100k,125,176.47058823529412
100k,126,176.47058823529412
100k,127,176.47058823529412
100k,128,177.14285714285714
100k,129,177.14285714285714
100k,130,177.14285714285714
100k,131,177.14285714285714
100k,132,177.14285714285714
100k,133,177.77777777777777
100k,134,177.77777777777777
100k,135,177.77777777777777
